id,artist,title,lyrics,
923,Rachel Yamagata,Be Be Your Love,"If I could take you away
Pretend I was queen
What would you say?
Would you think I'm unreal?
'Cause everybody's got their way I should feel
And everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Want to be your everything
Everything
Everything's falling and I am included in that
Oh, how I try to be just okay
Yeah, but all I ever really wanted
Was a little piece of you
And everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Everything will be alright
If you just stay the night
Please, sir, don't you walk away
Don't you walk away, don't you walk away
Please, sir, don't you walk away
Don't you walk away, don't you walk away
And everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
And everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
And everybody's talking how I can't, can't be your love
But I want, want, want to be your love
Want to be your love for real
Want to be your love, love, love, love, love, love
I want to be your love, your love, love, love, love",
924,Ariana Grande,God Is a Woman,"You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight
My one, it lingers when we're done
You'll believe God is a woman
I don't wanna waste no time, yeah
You ain't got a one-track mind, yeah
Have it any way you like, yeah
And I can tell that you know I know how I want it
Ain't nobody else can relate
Boy, I like that you ain't afraid
Baby, lay me down and let's pray
I'm tellin' you the way I like it, how I want it
And I can be all the things you told me not to be
(Yeah)
When you try to come for me, I keep on flourishing
(Yeah)
And he see the universe when I'm the company
It's all in me
You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight
My one, it lingers when we're done
You'll believe God is a woman
I'll tell you all the things you should know
So, baby, take my hand, save your soul
We can make it last, take it slow, hmm
And I can tell that you know I know how I want it, yeah
But you're different from the rest
And boy, if you confess, you might get blessed
See if you deserve what comes next
I'm tellin' you the way I like it, how I want it
And I can be all the things you told me not to be
(Yeah)
When you try to come for me, I keep on flourishing
(Yeah)
And he see the universe when I'm the company
It's all in me
You, you love it how I move you
You love it how I touch you
My one, when all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight
My one, it lingers when we're done
You'll believe God is a woman, yeah, yeah
Yeah, yeah
(God is a woman, yeah)
My one
(One)
When all is said and done
You'll believe God is a woman
You'll believe God
(God is a woman)
Oh, yeah
(God is a woman, yeah)
(One)
It lingers when we're done
You'll believe God is a woman",
925,SZA ft. Kendrick Lamar,Doves in the Wind,"Real niggas do not deserve pussy
Meaning it's more, you see right through walls
Ain't talkin' about pussy
Meaning you deserve the whole box of chocolates
Come at me
Forrest Gump had a lot goin' for him
Never without pussy
Y'know, Jenny almost gave it all up for him
Never even pushed for the pussy
Where's Forrest now when you need him?
Talk to me, talk to me
Hey, ayy, hey
Attention, all you niggas
All you bitches
Sit back and relax your mind, just ride, just ride
Sit back and relax, you'll find just why, just why
Sit back, relax, just ease your mind, just ride
You are now watching MADtv
Niggas'll lose they mind for it
Wine for it, dine for it (pussy)
Spend time for it, see no colored line for it (pussy)
Double back handicap and go blind for it (pussy)
Pussy got endless prisoners
Pussy always revengin' her
Pussy is calculating
And good pussy is rather dangerous
Pussy can be so facetious, the heavyweight champ
Pussy is so undefeated, let's amen to that
I mean, the pump fakes on the Facebooks
And the screw face when the bae look
Won't get you no pussy
I mean, the fake chains and the gold names
For insecure, gon' reassure you not to get pussy
You overcompensate too much for the pussy
You like to throw all kinda shade for the pussy
See, that's what pussy niggas do
I know the ways of a pussy, I see pussy lookin' at you
How many niggas get mistaken for clitoris in a day?
How many sentiments you make before runnin' pussy away?
How many times she gotta tell you that dick is disposable?
But if she fuck a young nigga like me, it's over for you
Sol?na, middle fingers up, speak your truth
You could never trivialize pussy
But a bum nigga like you would try it (pussy)
I know what you really 'bout
High key, your dick is weak, buddy
It's only replaced by a rubber substitute
We ain't feelin' you
Think I caught a vibe, kinda feel a nigga
You could touch the booty if you like, I ain't trippin' on ya
(Such a nice girl, SZA)
I'm really tryna crack off that headboard
And bust it wide open for the right one
'Cause you that one
Yeah, you that one
Like doves in the wind, hey, hey
That pussy, like doves in the wind, hey, hey
Pussy like doves in the wind
I will make you beg for it
I wanna see you call out
Sit back and relax your mind, just ride
(Give you all of me and I won't stop, not a little bit)
Sit back and relax, you'll find just why
(Dangerous boy, I wanted to do it all)
Sit back, relax, just ease your mind, just ride
(Unfortunately you couldn't get your shit together)
You are now watching MADtv
We take things, and my influence so far, and then it's out of my hands
And, y'know, while as I said it can be scary, it can also be a little bit comforting
Because I've learned that when I get to that point, and I can acknowledge, Okay, Audrey, that's as much as you can do I can actually let it",
926,Lauren Jauregui,Expectations,"Up in bed, all alone
Wondering where you've been
Ten past three
I know the club closed at 2 AM
I've already been through about seven scenarios
'Bout what it was that changed your mind
Knowing very well that you told me you'd come home
And it happens every time
Wish I had no expectations
I wish that I could get it through your head
With no confrontation
I really wish we could talk about it instead
All these tears that I cry while I'm turned to the side
And you're in the same fucking bed
Wish I had no expectations
But I expect, you expect, we expect
No, I don't mean to pry
I don't need no play by play (nah)
All I need from your side is for you to communicate
Respect for my time, respect for my space, respect for my energy
'Cause I've been waiting here all night for you to warm me up
And you haven't once thought of me
Wish I had no expectations
I really wish that I could get it through your head
With no confrontation
I really wish we could talk about it instead
All these tears that I cry while I'm turned to the side
And you're in the same fucking bed
Wish I had no expectations
But I expect, you expect, we expect
Oh, I wish I had no expectations
I wish I could get through your head
With no confrontation (confrontations)
I really wish we could talk about it instead (instead)
All these tears that I cry while I'm turned to the side
And you're in the same fucking bed
Wish I had no expectations (no)
But I expect, you expect, we expect",
927,Demi Lovato,Sexy Dirty Love,"Hitting me up late always be blowing up my phone
I'm lying awake wondering why I'm still alone
Lord knows I am sinning, please forgive me for my lust
Sending pictures back and forth
Babe, I'm craving your touch
You're my new obsession
Let go of any hesitation
Baby, be my new addiction
Intoxicate me gently with your loving
You got me so high
Pull me closer into you and watch our bodies intertwine
I feel so alive
You know what I'm thinking of
Got me dreaming about that sexy dirty love (dirty love)
Sexy dirty love (dirty love)
Sexy dirty love (dirty love)
Sexy dirty love (dirty love)
Now you're teasing me and I can't help but do the same
Whispering through your phone, now you're driving me insane
It's like you're getting off on messing with my sanity
Hang up, come on over
Let's play out this fantasy
You're my new obsession
Let go of any hesitation
Baby, be my new addiction
Intoxicate me gently with your loving, oh
You got me so high
Pull me closer into you and watch our bodies intertwine
I feel so alive
You know what I'm thinking of
Got me dreaming about that sexy dirty love (dirty love)
Sexy dirty love (dirty love)
Sexy dirty love (dirty love)
Sexy dirty love (dirty love)
You're my new obsession
Let go of any hesitation
Baby, be my new addiction
Intoxicate me gently with your loving, oh oh
You got me so high
Pull me closer into you and watch our bodies intertwine
I feel so alive
You know what I'm thinking of
Got me dreaming about that sexy dirty love, oh oh
Sexy dirty love
Sexy dirty love (dirty love)
Sexy dirty love",
928,Selena Gomez,Come and Get It,"When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready
When you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
You ain't gotta worry, it's an open invitation
I'll be sittin' right here, real patient
All day, all night, I'll be waitin' standby
Can't stop because I love it, hate the way I love you
All day, all night, maybe I'm addicted for life, no lie
I'm not too shy to show I love you, I got no regrets
I love you much too, much to hide you, this love ain't finished yet
This love ain't finished yet
So baby, whenever you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready
When you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
You got the kind of love that I want, let me get that (let me get that, yeah)
And baby, once I get it, I'm yours, no take-backs
Gon' love you for life, I ain't leaving your side
Even if you knock it, ain't no way to stop it
Forever you're mine, baby I'm addicted, no lie, no lie
I'm not too shy to show I love you, I got no regrets
So baby, whenever you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready
When you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
This love will be the death of me
But I know I'll die happily
I'll know, I'll know, I'll know
Because you love me so
Yeah
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na
When you're ready come and get it
Na-na-na-na
Na-na-na-na (I'm gonna get it, yeah, yeah)
Na-na-na-na
When you're ready
When you're ready
When you're ready come and get it
Na-na-na-na
Na-na-na-na
Na-na-na-na",
929,Fergie,M.I.L.F. $,"You got that
You got that
You got that milk money
I got that
I got that
I got that MILF money
You got that
You got that
You got that milk money
I got that
I got that
I got that MILF money
I got that MILF money
I got that MILF money
I got that MILF money
I got that MILF money

Heard you're in the mood
For a little milfshake
Welcome to the dairy
Dutchess love factory
I could whip it up fix
You up straight away
C'mon in the front door
Leavin' out
The back door
Whip it flip it hay

Been workin'
At your service
To give it to ya
Didn't mean to
Make you nervous
You mutha fucka

You got that
You got that
You got that milk money
I got that
I got that
I got that MILF money
I got that MILF money
I got that MILF money

Me and the girls
Up in the club
Hatin' ass ho's but
I don't give a fuck
Runnin' a muck
Ownin' the spot
Buyin' the bar like I
Bought all these rocks
I've been
Workin' all week
Now where the
Hell is my drink
Hair and
Nails on fleek
All my girls on fleek

Cause we
I-n-d-e-p-e-n-d-e-n-t
Do you know
What that means
Can't see me b-r-o-k-e
I'm p-a-I-d
Heard about me
I'm sayin'

You got that
You got that
You got that milk money
I got that
I got that
I got that MILF money
You got that
You got that
You got that milk money
I got that
I got that
I got that milf

I've been
Whippin' this up
I've been
Tippin' this cup
I've been waitin' my turn
I've been workin' so hard
Got my spirit turnt up
And I can't stop now
I've been runnin' so long
I've been fighting
So strong
I want it I need it
I got it for real
I love it real woman
I'll feed you this meal
Hey mama I did it
The top of the hill
Been a minute
Don't forget it
Mutha fucka I'm ill

Now let me see
Ya MILF shake
Let me see ya MILF shake
I got that MILF money
I got that MILF money
I got that MILF money
Let me see ya MILF shake
I got that MILF money
I got that milf
Money (shake, shake)
(Shake, shake) I got
That MILF money
Been workin' at
Your service
To give it to ya
Didn't mean to
Make you nervous
To give it to you
You mutha fucka
Let me see ya MILF shake
Let me see ya MILF shake
I got that MILF money
I got that MILF money
I got that MILF money

Been workin' at
Your service
To give it to ya
Didn't mean to
Make you nervous
To give it to you
You mutha fucka",
930,Mya,Ready (Part III - 90s Bedroom Mix),"Boy your body's calling
It's hitting me up
Baby don't be stalling
Don't be late showing up
I wanna give it all
I wanna take it off
But you gotta put in work babe
'Cause I'm something like a boss

[Chorus]
Seems like you're ready
Ready for me to give it all to you
All to you
So if you're ready
Then baby I'm ready
I know what's on your mind
And it's been on mine for awhile now

[Hook]
(For a while, a while, a while)
(A while, a while)
I wanna give it to ya
Give it to ya, babe
(For a while, a while, a while)
(A while, a while)
(Oh, oh, oh, oh, oh, oh)

It seems like you're ready
I wanna give it to ya
Give it to ya baby (Oh yeah)
I wanna give it to ya
Give it to ya baby (Oh)
But only if you're ready

I've been thinking lately
You might be ready, so write it down with me
Even if I haven't seen you baby
You always treat me like a lady
So you might be ready
(You might be ready)
And God might be ready
I know what's on your mind
And it's been on mine for awhile now

(For a while, a while, a while)
(A while, a while)
I wanna give it to ya
Give it to ya, babe
(For a while, a while, a while)
(A while, a while)
[?]
(Oh, oh, oh, oh, oh, oh)

It seems like you're ready
I wanna give it to ya
Give it to ya baby (I wanna give it to ya)
I wanna give it to ya
Give it to ya baby (Give it right now)
But only if you're ready

The only one who deserves my love
'Cause I... know you've always been ready
But I know when you're really ready
Are you're ready to receive every single part of my love
I want to see when you put in the work
I know for sure you'll be [?]
So when you're ready I will give it
Don't [?] , just admit it
I can't wait till you're ready
'Cause I'm ready to get it

(For a while, a while, a while)
(A while, a while)
I wanna give it to ya
Give it to ya, babe
(For a while, a while, a while)
(A while, a while)
(Oh, yeah)

It seems like you are ready
I wanna give it to ya
Give it to ya baby (I wanna give it to ya baby)
I wanna give it to ya
Give it to ya baby (I wanna give it to ya baby)
But only if you're ready",
931,Brandy,Slower,"My baby got a lot to learn
Come here let mama bring you up to speed
A couple of changes
A couple of things I want to go over
Couple of flowers is all I need
So let's get it started
Now I want you touching all over my body
And kissing and licking up on me
I know you wanna beat it up up
But I'm sorry that ain't really my play
If you take your time then we can do whatever
What you think we in here for
Baby we got all night so don't rush it
And you gon' get the reaction you wanted
Let's take it slower
Slower, slower, slower, slower
Don't speed it up boy we can go
Slower
Slower, slower, slower, slower
Baby wait a minute
Your closer to the ending
Together we gon' finish up
You speed racer
Slow down
Noh uh uh uh uh ooh ooh
Now I want you touching all over my body
And kissing and licking up on me
I know you wanna beat it up up
But I'm sorry that ain't really my play
If you take your time then we can do whatever
What you think we in here for
Baby we got all night so don't rush it
And you gon get the reaction you wanted
Let's take it slower
Slower, slower, slower, slower
Don't speed it up boy we can go
Slower
Slower, slower, slower, slower
I got a vision of us
And there's a kiss with every touch
If I let you take control
Boy you better make me feel loved
You never had nothin' like this
I'm gonna show you a thing or two
And if you ask we can go all night
Speed racer
just take it
Slower, slower, slower, slower
Don't speed it up boy we can go
Slower
Slower, slower, slower, slower
Now I want you touching all over my body
And kissing and licking up on me
I know you wanna beat it up up
But I'm sorry that ain't really my play
If you take your time then we can do whatever
What you think we in here for
Baby we got all night so don't rush it
And you gon' get the reaction you wanted",
932,Jojo,Mad Love,"You know, love is just one of those things
You can't really explain, that's insane
Lay here with me in the dark
I know my edges are sharp
But sometimes the pain is what hurts you so good
You took a knife to my heart
And cut out the rational parts
I knew that you were just misunderstood
Cause you give me mad love
How far can we go?
Nobody knows
You give me bad love
But I'll take what I get
I'm starving for it
Like I've never had love
You keep me insane,
I'm not ashamed
Don't give a damn, love
I want you so bad
You give me mad love, mad love
Twisted like wire in your arms
A dangerous place for my heart
But you know I love getting off on the thrill
Turn me from water to wine
I'm wasted all of the time
So do it, baby
Go in for the kill
You give me mad love
How far can we go?
Nobody knows
You give me bad love
But I'll take what I get
I'm starving for it
Like I've never had love
You keep me insane and I'm not ashamed
Don't give a damn, love
I want you so bad, love
You give me
Cause you give me mad love
How far can we go?
Nobody knows
You give me bad love
But I'll take what I get
I'm starving for it
I've never had love
You keep me insane,
I'm not ashamed
Don't give a damn, love
I want you so bad
You made me mad love
You keep me insane
But I'm not ashamed
Don't give a damn love
'Cause I want you so
'Cause I want you so
You give me mad love
How far can we go?
Nobody knows
You give me mad love
Mad love
Mad love
M-m-mad love
Mad love",
933,Beyonc?,Dance for You,"I just wanna show you how much I appreciate you, yes
Wanna show you how much I'm dedicated to you, yes
Wanna show you how much I will forever be true, yes
Wanna show you how much you got your girl feeling good, oh yes
Wanna show you how much, how much you understood, oh yes
Wanna show you how much I value what you say
Not only are you loyal, you're patient with me babe, oh yes
Wanna show you how much I really care about your heart
Wanna show you how much I hate being apart, oh yes
Show you, show you, show you, 'til you through with me
I wanna keep it how it is so you can never say how it used to be
Loving you is really all that's on my mind
And I can't help but to think about it day and night
I wanna make that body rock
Sit back and watch
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna put my body on your body
Boy, I like it when you watch me, ah
Tonight it's going down
I'll be rockin' on my babe, rockin', rockin' on my babe
Swirlin' on my babe, swirlin', swirlin' on my babe
Baby, let me put my body on your body
Promise not to tell nobody
'Cause it's about to go down
You'll never need two 'cause I will be your number one
Them other chicks are superficial
But I know you know I'm the one
That's why I'm all into you
'Cause I can recognize that you know that
That's why I'm backing this thing back
Pop-poppin' this thing back
Drop, drop, drop-droppin' this thing back
This is for the time you gave me flowers
For the world that is ours
For the mula, for the power of love
And no I won't never ever e-ever give you up
And I wanna say thank you incase I don't thank you enough
A woman in the street and a freak in the you know what
Sit back, sit back, it's the pre-game show
Daddy, you know what's up
Loving you is really all that's on my mind
And I can't help but to think about it day and night
I wanna make that body rock
Sit back and watch
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna put my body on your body
Boy, I like it when you watch me, ah
Tonight it's going down
I'll be rockin' on my babe, rockin', rockin' on my babe
I'll be swirlin' on my babe, swirlin', swirlin' on you babe
I wanna put my body on your body
Promise not to tell nobody
'Cause it's about to go down
I'ma take this time to show you how much you mean to me
'Cause you are all I need
No money can emphasize
Or describe
The love that's in-between the lines
Boy, look into my eyes
While I'm grinding on you
This is beyond sex
I'm high on you
If it's real then you know how I feel
Rockin' on you babe, rockin', rockin' on you babe
Swirling on you babe
In my mind all I can think about is a frame for our future
And the pictures of the past
And a chance to make this love last
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna dance for you, oh-oh
Tonight I'm gonna put my body on your body
Boy, I like it when you watch me, ah
Tonight it's going down
I'll be rockin' on my babe, rockin', rockin' on my babe
I'll be swirlin' on my babe, swirlin', swirlin' on my babe
I wanna put my body on your body
Promise not to tell nobody
'Cause it's about to go down
Watch me p-pop it, p-pop it for you, baby
Drop it, drop it, drop it, drop it for you, baby
Watch it, watch it, watch it, watch me roll it, baby
Wanna make that body rock
Sit back and watch
Me p-pop it, p-pop it for you, baby
Drop it, drop it, drop it, drop it for you, baby
Watch it, watch it, watch it, watch me roll it, baby
Wanna make that body rock
Sit back and watch
Yes
Yes
Yes
Oh, yes
Oh, yes
Yes
Yes
Oh, yes",
934,Megan thee Stallion,Big Ole Freak,"Ay, big ole freak
Big booty, big ole treat
I'ma make him wait for the pussy
Hit it 'til he big ole skeet
Ay, feet on the bed
I'll fuck him up in the head
Suck it then look in his eyes
Then the next day I might leave 'em on read
Pop it, pop it
Daydreaming 'bout how I rock it
He hit my phone with a horse
So I know that mean come over and ride it
Shit, I'm on the way
Ride on that dick I'm like, ""Yay"", hey
Usually I like to fuck
But tonight we gon' make love 'cause you bae
Nobody know, I fuck with him on the low
We never show up together but I text him when I'm ready to go
Ay, I had a couple of shots at the bar
I'm finna play with that dick in the car
I got him swerving and breaking the law
These windows tinted so nobody saw
Ain't nobody freak like me
Give ya what you need like me
Ain't nobody got on they tip, tip toes and rode to the tip like me
I got 'em addicted, he fiendin'
My body a drug and he need it
He begging me for the treatment
He throw a fit when I leave 'em
He like
""Baby lemme rub, lemme rub on ya
Can I get a lil' love, lil' love from ya""
My body addictive it's driving him crazy
Think I got run from ya
Don't know what to do without it
He fucking with you, I doubt it
They don't understand, I'm all in his head
And it's nothing to do with my body
You been fiendin' for me lately
Going brazy, brazy
I got what you need I'm gon' give it to you baby
Going brazy, brazy
Fiendin' for me lately
I got what you need
I'ma give you what you craving
See I'm a big ole freak, I love to talk my shit
And you must be a pussy boy, if you get offended
Bitch it's Tina Snow, they love me 'cause I'm cold
And you can't take no nigga from me
I got mind control
I want to fuck in the mirror, I like to look at your face when you in it
Come in the room and I'm giving commands
I am the captain and he the lieutenant
I need that neck like a mothafuckin' pendant
Need you to spit, make that motherfucker glisten
Tell him ""Shut up!"" make that motherfucker listen
I bet he gon' like it, he won't do no tripping
Ain't nobody freak like me (hell nah)
Give ya what you need like me (hell nah)
Ain't nobody got on they tip, tip toes and rode to the tip like me (huh)
I got 'em addicted, he feindin'
My body a drug and he need it
He begging me for the treatment
He throw a fit when I leave him
""And baby lemme rub, lemme rub on ya
Can I get a lil' love, lil' love from ya""
My body addictive it's driving him crazy
I think I got run from him
Don't know what to do without it
He fucking with you, I doubt it
They don't understand that I'm all in his head
And it's nothing to do with my body
I can tell
You been feindin' for me lately
Going brazy, brazy
I got what you need I'm gon' give it to you baby
Going brazy, brazy
Feindin' for me lately
I got what you need
I'ma give you what you craving",
935,Christina Aguilera ft. XNDA,Pipe,"Oh, oh yeah
I get loud when you put that pipe down, pipe down, pipe down
I wanna celebrate you right now, right now, right now
Got me sendin' for you all across town, cross town, cross town
I wanna celebrate you right now, right now, right now, hey
I just sent a driver, he's on his way
Shouldn't be no traffic on this time on Saturday
I just left a lit-uation popping by the High Line
Walked in, no list, fuck a go sign
Make sure that you're checkin' on your texts
Tryna hurry up and get my body out this dress
Yeah, that's right, I'm stingy with my money and my own time
But when it comes to you, I'm always on time
I need some receipts, ooh
All the shit that you said you waas gon' be doin' to me last week, oh
Oh, I need some receipts
Got a couple secrets that I'd really love to see if you could keep
Damn boy, you remind me of my Jeep
I get loud when you put that pipe down, pipe down, pipe down (yeah)
I wanna c""elebrate you right now, right now, right now (ooh)
Got me sendin' for you all across town, cross town, cross town (ooh)
I wanna celebrate you right now, right now, right now
Don't you know, don't you know
That I got that rah-rah-rah rocky boat
Bet I'll make you splash like Geronimo
If you don't like it fast, I could take it slow
Wanna show you how much I missed ya
My Schedule flexible so I switched up
Permanent vacation, we should go away
Way too much for me to wanna throw away
I'm hopin' that you're racin' through the signs
I got a surprise and it ain't even Valentine
Even if you ain't, just say you are for peace of mind
Know you got it all, but you should have a piece of mine
I get loud when you put that pipe down, pipe down, pipe down
I wanna celebrate you right now, right now, right now (woo)
Got me sendin' for you all across town, cross town, cross town (yeah)
I wanna celebrate you right now, right now, right now
You know I got a wild imagination
I like to play the doctor, operation (yeah)
Spread it on the bed like a patient (yeah)
I'm about to show you domination (yeah, oh)
Got, that nana dripping like a waterfall (drip drip)
Oh na na na good, I could eat it all (eat it up)
I'mma dive in, touch the ocean floor
You already know what you came here for (lay it down now)
You know that I'm grown and I'm 'bout it (yeah, I'm 'bout it)
And I know what to do witcha body (witcha body)
Every single time that you drop it
Trust me I know what to do with it
I get loud when you put that pipe down, pipe down, pipe down
I wanna celebrate you right now, right now, right now
Got me sendin' for you all across town, cross town, cross town
I wanna celebrate you right now, right now, right now, hey
Yeah, yeah
Yeah, yeah oh
Yeah
Mmm, lay it down now",
936,Marsha Ambrosius,So Good,"Hey, baby, it don't even matter
We can do whatever you wanna do
Yeah, I wanna do you, right now
Right here, yeah, come here

I can tell by looking at you
That thing is good, good good good
I can't help myself around you
I wanna do every thing
I ain't gonna front, I'm upfront
Blatant 'bout what I want
I want you here right now, baby
Look at me the way that you do
You want me too
And I don't wanna waste no time

So make it rain and let it fall
Down on me,
I can't believe
That your love so good
So good
Your love so good, so good
So good to me

Outta space I'm on a high to
That shit is good
Don't let me come down
Put your lips where I can find you
And take me now
Run it deep like a running back,
Make you work it back,
Make me want it bad
Make me want you bad, baby
Till the sun comes up and skies blue
And over again I'll take it babe

Just make it rain down on me
I can't believe that your love is so
Good
So good
Your love so good, so good
So good to me

You pulling on my hair
You're right between my legs
You're kissin' on my neck
I'm scratching on your back
I say baby go head
Go hard, I say go ahead
Baby, take it there

Just make it rain
Let it fall down on me
I can't believe that your love is so
Good
So good
Your love so good, so good
So good to me",
937,Lizzo,Lingerie,"[Intro]
(Yeah)
Damn

[Verse 1]
Hair down, moonlit
Look at my lipstick
So thick, so fit
Wanna put your lips in places, ooh
The sun don't shine there
I like that right there (I like that)
Keep goin¡¦ and goin' and keep it flowin', uh
You know what you doin¡¦, don't you?

[Chorus]
So I lounge around in my lingerie
I wanna be prepared for you just in case
So I lounge around in my lingerie
You better come my way

[Verse 2]
I don't got no secrets you don't know
These panties are see-through, I'm exposed, yeah
Treat you with my body, my eyes closed
Baby, let me feel you close
You make me crescendo, I'm going up
Ooh, ooh, ooh, yeah
Let's open the window
And let the world know
Oh, oh, oh
[Chorus]
So I lounge around in my lingerie
I wanna be prepared for you just in case
So I lounge around in my lingerie
You better come my way

[Bridge]
Yeah, yeah, ow
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh
Ooh, ooh-ooh, ooh

[Chorus]
So I lounge around in my lingerie
I wanna be prepared for you just in case, yeah
So I lounge around in my lingerie
Ooh, you better come my way",
938,Sevyn Streeter,Sex on the Ceiling,"Fuck a mattress, being on the floor
I'ma need you to do a little more, yeah, oh
The shower is overrated
Baby, I anticipated tonight
It's what we gon' do, oh
Turn the bed upside down, flip me around
Gravity's left the building
I'll be on top, really I'll be on the bottom
'Cause we goin' be having sex on the ceiling
Take me higher, take me higher, boy
Switch it up one time, one-eighty
Drive me crazy, baby, we gon' have sex on the ceiling
I don't ever ever wanna come down, boy
I'ma have you standing up when I'm around, boy
So whenever you get that feeling
Baby, we gon' have sex on ceiling
Nothing beneath us but the carpet
Maybe some furniture, let's get it started
Oh whoa-whoa, oh-whoa
But my body is orthopedic
Victoria gave me the secret
And I've been saving it for you
Want you to take me up
Up, up, up
I'm so tired of droppin' it low
To the top don't stop, let's go
Turn the bed upside down, flip me around
Gravity's left the building (ooh)
I'll be on top, really I'll be on the bottom (I'll be on the top, yeah, yeah)
'Cause we goin' be having sex on the ceiling
Take me higher (higher)
Take me higher, boy
Switch it up one time, one-eighty
Drive me crazy, baby, we gon' have sex on the ceiling (sex on the ceiling)
I don't ever ever wanna come down, boy
I'ma have you standing up when I'm around, boy
So whenever you get that feeling
Baby, we gon' have sex on ceiling
Want you to take me up
Up, up, up
I'm so tired of droppin' it low
To the top don't stop, let's go
Want you to take me up
(Baby, take me)
Up (little higher)
Up (you can be my)
Up (one desire)
I'm so tired of dropping it low
To the top don't stop, let's go
Turn the bed upside down, flip me around
Gravity's left the building (hey)
I'll be on top, really I'll be on the bottom
'Cause we gon' be having sex on the ceiling
Take me higher (higher)
Take me higher, boy
Switch it up one time, one-eighty
Drive me crazy, baby, we gon' have sex on the ceiling (sex on the ceiling)
I don't ever ever wanna come down, boy
I'ma have you standing up when I'm around, boy
So whenever you get that feeling
Baby, we gon' have sex on ceiling
Sex on the ceiling
Sex-sex on the ceiling",
939,Xscape,Feels So Good,"Uh Uh Uh Uh
Yeah
Shit
Yo
This Xscape
For the 9-5
You know how they do
So lay back kick it
And let's get live
Ladies, how often do you have
A man that makes you wanna cry
A man that makes you wanna laugh
Sistas
Well I think I've found the one
That does everything I lke
And knows how to get the job done
He makes me
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good
Ladies
Never have I felt this way before
He makes me feel so good
He keeps me wanting more
He makes me feel
So good So good
From my head to my toes
All the things that this man does
Everyone should know
And I
Don't ever wanna lose this feeling
His love is real
I'm willing to stay right by his side
Cause I know he'll always be mine
The way he touch me
Makes me lose my control
And when you have a man like that
Love dictates your soul
He makes me Yeah
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good
This is for those that like to pop the trunk and let it bump
Bump, Bump
This is for those that like to pop the trunk and let it bump
Bump, Bump
This is for those that like to pop the trunk and let it bump
Bump, Bump
This is for those that like to pop the trunk and let it bump
Bump, Bump
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good
Clap my hands
Stomp my feet
Every little thing that you do to me
Feels so good
Feels so good",
